streetAddress,zipcode,description,latitude,longitude,hasCooling,hasGarage,hasHeating,parkingSpaces,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories,pr_sqft
7207 Loch Lommond St,78749,"Walk into the pages of Dwell magazine just minutes from downtown w/o the downtown prices. Completely remodeled 1 story with granite countertops, stainless appliances, hand scraped floors, recessed lighting, river rock walk in shower + separate bath, travertine tile, double vanity. Flexible office space. Private covered patio + sparkling pool. No detail overlooked ~ smooth ceilings, replaced baseboards (6""), doors, hinges/handles, ledgestone fireplace w/built-ins. Private front courtyard/outdoor dining. ",30.21287346,-97.83719635,1,1,1,2,449000,10541,2003,2,4,1,224
1101 Grove Blvd #504,78741,"Fabulously updated condo in a gated community just minutes from downtown Austin! These townhome style condos were taken down to the studs in 2012 and completely rehabbed. Unit 504 was recently upgraded with over 10K in updates to the master bath and kitchen, including a spacious walk-in shower. Community features dog park, grill, gym, and a pool! The HOA covers water, trash, and sewer. Easy access to hike and bike trails, Lady Bird Lake, downtown, ABIA, and everything east side. Google Fiber on site",30.23560715,-97.70290375,1,1,1,1,242000,7840,907,2,1,2,267
1400 Westmoor Dr,78723,"1400 Westmoor Dr, Austin, TX 78723 is a single family home that contains 1,040 sq ft and was built in 1955. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $477,358. The Rent Zestimate for this home is $1,995/mo. ",30.30970383,-97.70207977,1,1,1,1,389500,6534,1040,2,3,1,375
2904 Wadsworth Way,78748,"Beautiful modern remodelled home near Brodie and Slaughter. Exterior has new paint, landscaping, partial areas of fence replaced, a huge back yard w/ fire pit perfect for social gatherings, textured back deck and new deck roofing with sky lights. Interior has NEW insulation in the attic, A/C compressor, coil and furnace, birch hardwood floors, carpet in bedrooms, tile in kitchen and baths, master bath has a jacuzzi, granite countertops and cabinets in kitchen, stacked rock fireplace, 2"" blinds, modern electrical outlets, plates, satin finish light, plumbing fixtures and ceiling fans. ",30.17463303,-97.8423233,1,1,1,2,334900,14374.8,1636,2,3,1,205
7905 Havenwood Dr,78759,"Rarest of the rare. Lovely split level that has tremendous potential - yet beautifully updated & move-in ready! Recent updates include: Interior paint, carpet, tile, several light fixtures, ss range, microwave. Some of the houses of similar square footage in Balcones West have sold in $640k-$815k range, which means this is a tremendous opportunity for both investors and first time home buyers trying to get into this red hot area. Ideally located - Minutes away from downtown, Arboretum, Gateway, Domain.",30.36373901,-97.74656677,1,1,1,2,519950,9539,1974,2,3,1,263
11320 Hillhaven Dr,78748,"Sellers have loved this Buffington built, brick, one story on gorgeous lot. Upgrades including wood floors, porcelain tile, stone fireplace, kitchen island, tasteful paint and recent fence. Appliances convey inc washer, dryer, fridge. One of the best streets in Hillcrest with nice elevation to enjoy the breeze and shade on the covered front porch or large back deck. Clean, move-in ready .",30.15613556,-97.83649445,1,1,1,2,284900,6403,1835,2,3,1,155
303 Wilmes Dr,78752,"Beautifully maintained home on spacious lot in one of Central Austin's hottest neighborhoods. Fabulous modern w/mid century lines. Updated kitchen features custom solid wood cabinets w/Silestone counters, recessed lighting, stainless appliances and subway tile back splash. Renovated flooring and paint along with with highly effcient 13 SEER central A/C. Near MetroRail/Rapid Transit/ACC-Highland and ez walk to Foreign & Domestic, Drink.Well., Phara's, and Epoch Coffee.",30.32949257,-97.71808624,1,1,1,2,309900,6272,1301,1,3,1,238
4709 Franklin Park Dr,78744,"4709 Franklin Park Dr, Austin, TX 78744 is a single family home that contains 1,120 sq ft and was built in 1976. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $256,001. The Rent Zestimate for this home is $1,650/mo. ",30.19711685,-97.74079895,1,0,1,0,211000,6708,1120,2,3,1,188
5512 Catsby Ct,78724,"Lovely brick home with private backyard and patio. Living features a vaulted ceiling, ceiling fan, new wood laminate floors and tile fireplace. Kitchen is open to living, has new laminate wood flooring and new stainless steel appliances, a breakfast area and ample cabinetry. All bedrooms have new carpet; master has walk in closet and private bath with double vanity, and shower tub combo.  Major renovations done with all new flooring, new windows for the back side of the house, new paint, garage door opener, and alarm system.",30.25343895,-97.58031464,1,1,1,2,170000,10541,1268,2,3,1,134
13717 Wiregrass Way,78717,"Video @ bit.ly/13717Wire. Island kitchen w/ granite, ss appliances, 42"" painted cabinets, subway tile backsplash, & walk-in pantry. Family room w/ 2-story ceiling & gas log fireplace w/ floor-to-ceiling tile. Master w/ walk-in closet & bay window. Master bath w/ dual vanity, garden tub, & separate shower w/ bench. Office down & game room up. 2 full baths upstairs. CCTV security cameras, tankless water heater, water purifier & softener. 2.5 car garage w/ epoxy flooring. 1/2 mile to MetroRail station.Restrictions: Yes  Sprinkler Sys:Yes",30.48480988,-97.78945923,1,1,1,2,514900,7448,3051,4,4,1,169
903 Banyon St,78757,"AMAZING PRICE FOR THIS KNOCKOUT Crestview home! 2-story ceilings, plantation shutters, designer light fixtures, built-in library, gourmet kitchen w/quartz countertops & upgraded cabinets. Posh master suite w/ coffered ceiling & lovely bath w/dual vanity & walk-in shower. Master closet w/ custom built-ins. Beautifully landscaped yard & covered patio-perfect for entertaining all year round. Walk to Capital MetroRail! See attachment for list of things to do!",30.34274292,-97.71707153,1,0,1,0,499990,3267,1498,3,3,2,334
2317 Melissa Oaks Ln,78744,"Perfect starter or investment property in Southeast Austin.  Super convenient location close to Southpark Meadows shopping and easy access to I-35 for a downtown commute.  Detached 2 car garage with alley access.  2"" faux wood blinds throughout. Updated light fixtures downstairs.  Don't miss out on this smoking price point!",30.15841866,-97.77771759,1,1,1,2,220000,4225,1366,3,3,2,161
1122 Tillery St,78702,"Rare opportunity in highly desirable and walkable, 78702 location. Built in 2013, this single-story home is rare and better than new with tons of stylish upgrades, thoughtful repurposed materials from the property's former home, and a darling income producing airstream that conveys!  Located on a very private and large quarter-acre lot with productive fruit and pecan trees and surrounded on 2 sides by a wholesale plant nursery, you will feel like you're living in a fairytale forest.Guest Accommodations: Yes",30.26776505,-97.70172882,1,1,1,2,849000,10890,1559,2,3,1,545
190 Winecup Way,78737,"Amazingly well-maintained 4 bedroom, 2.5 bathroom home! Property is conveniently located on a cul-de-sac close to the neighborhood amenities. Enjoy the luxury of an open layout and tons of natural light. More information and professional photography coming soon!",30.17174149,-97.99672699,1,1,1,2,365000,12196.8,2739,3,4,2,133
4108 Burnet Rd,78756,"4108 Burnet Rd, Austin, TX 78756 is a single family home that contains 1,776 sq ft and was built in 1931. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $838,818. The Rent Zestimate for this home is $3,100/mo. ",30.3114872,-97.74443054,1,1,1,1,695000,6534,1776,2,3,1,391
1607 Glencrest Dr,78723,"Amazing retro Windsor Park home with original vintage touches. Recent pergo floors and fresh paint throughout. Vintage tile in bathrooms is in unparalleled condition, tubs and sinks have been reglazed. Low E double pane windows. New fans, water heater, faucets, and cabinet hardware. Two car garage also has incredible built-in wood cabinetry, work area, and insulated garage doors. Location is unbelievable, close to DT, shopping, restaurants &parks. Walk to Hanks and other Windsor Park eateries!",30.31744385,-97.6924057,1,0,1,0,415000,9583,1318,2,3,1,315
11031 Galleria Cv,78759,"Warm and inviting 4 bd / 2.5 ba home plus wooded extra lot backing to the Great Hills Park Trail in the lovely Great Hills area of Austin! Highlights include the flowing layout, renovated primary suite, second-floor game room, deck, and wooded backdrop! Upon entrance, notice the oak hardwood floors, high ceilings, crisp white walls, and bright natural light. The formal living room sits to the right of the foyer and connects to the chandelier-lit dining room. Up ahead, there is a butler's pantry, laundry room, and kitchen, equipped with white cabinets, stainless steel fridge/dishwasher, a gas cooktop, center island, tile backsplash, and a breakfast area with sliding glass doors to the deck! This space opens to the second living room, complete with a cozy wood-burning fireplace. A powder room completes this level. Head up the newly carpeted stairs to the second floor to reach the spacious primary suite, offering a dual sink vanity, soaking tub, glass door tiled shower, and walk-in closet! The remaining three bedrooms share the full hallway bath and a game room provides the perfect hang out spot! Entertain guests on the deck and back lawn, overlooking a creek! The property backs up to a wooded lot; which doubles the size of the lot, and Great Hills Park/Trail, providing ample privacy and peaceful views! Newer SEER HVAC units and exterior paint. Double-paned windows and a 50-gallon gas water heater. Alarm. Two car garage. Located near downtown, Lakes Travis and Austin, and shopping/dining at the Arboretum and the Domain! Easy access to hwy 183 and MoPac Expy. Buyer should verify all information.",30.41478348,-97.75821686,1,0,1,0,635000,7544,2542,3,4,2,250
2406 Roehampton Dr,78745,"2406 Roehampton Dr, Austin, TX 78745 is a single family home that contains 3,120 sq ft and was built in 1981. It contains 6 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $466,443. The Rent Zestimate for this home is $2,550/mo. ",30.19661522,-97.81731415,1,0,1,0,450000,8712,3120,4,6,2,144
6513 Ladywell Ln,78754,"Upon entering the vibrant & spacious open concept living room & kitchen, be welcomed to the home of your dreams with newly installed plank flooring on 1st floor & updated granite countertops in the kitchen. The freshly painted walls throughout the interior of the home adds a modern touch. 2nd bath has a bonus sitting area at vanity. Private backyard perfect for entertaining. Enjoy the amenities which include pool, playground, and neighborhood park. Close to downtown with the best price !",30.34529495,-97.61943817,1,0,1,0,229000,4791,1665,3,3,2,138
8308 Bridgetown Dr,78753,"This newly remodeled home features an open concept kitchen & living area that's perfect for entertaining family & friends. This home has high end upgrades with all new Malibu White Shaker cabinets and massive stainless farm sink, granite counter tops, all new stainless appliances, and completely new remolded bathrooms with frame-less shower.  The outdoors is perfect for BBQ's and entertaining family and friends.  Don't wait to long this one may not last past the weekend!",30.34380913,-97.69039154,1,0,1,0,395000,7666,1717,2,3,1,230
902 Bodark Ln,78745,"Must-see! Great location in highly sought-after 78745. Adorable single-story home nestled on amazing lot in tree-filled neighborhood. Meticulously cared for, with recent paint. Efficient layout maximizes space and functionality. Perfect for first time home buyers, or downsizing. Classic South Austin design with clean, thoughtful aesthetics. Plenty of natural light throughout. Quick access to food-trailers, retail, schools, parks & i35/MoPac/William Canon. Don't miss out! Call/text agent for easy show.",30.19524193,-97.79370117,1,0,1,0,265000,6838,1063,2,3,1,249
5620 Toscana Ave,78724,"5620 Toscana Ave, Austin, TX 78724 is a single family home that contains 1,511 sq ft and was built in 2006. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $330,483. The Rent Zestimate for this home is $1,795/mo. ",30.28762817,-97.64517975,1,1,1,2,269990,5662,1511,3,3,2,179
877 Wild Rose Dr,78737,"Almost $40K in upgrades, including gorgeous wood floors, 2.5 car garage, and metal roof accents, plus a fabulous lot make this home a must see! Master and office on first floor with a game room and two large secondary bedrooms, both with walk-in closets, upstairs. Tons of storage, covered back patio, welcoming front porch, amazing oak tree in the backyard, and a window seat in one of the upstairs bedrooms are just some of the things you will love about this home. Walk/bike to Sycamore Springs campus!",30.16673851,-97.98545074,1,1,1,2,389900,8990,2262,3,3,2,172
8202 Furness Cv,78753,"8202 Furness Cv, Austin, TX 78753 is a single family home that contains 1,904 sq ft and was built in 1979. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $440,015. The Rent Zestimate for this home is $1,918/mo. ",30.34225082,-97.69068146,1,0,1,0,429900,11325.6,1904,3,4,2,226
1001 Ogden Dr,78733,"1001 Ogden Dr, Austin, TX 78733 is a single family home that contains 3,249 sq ft and was built in 2006. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $748,815. The Rent Zestimate for this home is $3,750/mo. ",30.33107376,-97.86151123,1,0,1,0,660000,10018,3249,4,4,2,203
1002 Arcadia Ave,78757,"1002 Arcadia Ave. Austin, TX 78757 -- Charming 2 bedroom, 1 bathroom ranch-style home. One-car garage with utility area, washer and dryer included. Hardwoods, formal dining room plus breakfast table area in kitchen, large pantry closet, gas stove, dishwasher, refrigerator, central heat/AC, ceiling fans, great light.  Bathroom updated with new pedestal sink and toilet, slate floor, and bead-board. Huge backyard with deck, raised bed garden, pecan trees and 20ft fruit-bearing fig.  Peaceful, quiet street.  Located in the Brentwood/Crestview neighborhood, near Lamar St. and 2222. 0.5 mile to Crestview fast-rail station. 8 miles to downtown.  12-month lease, $1800, $1800 deposit. Lawn care included. No Pets. Available: May 15.",30.33271027,-97.72433472,1,1,1,1,475000,8058,1040,1,2,1,457
8724 Little Laura Dr,78757,"Fantastic newer David Weekley in North Shoal Creek! Beautifully updated with hardwood woods, quartz counters, 6 burner high end range, tankless water heater, interior and exterior fresh paint, massive kitchen storage on a charming quiet street.",30.37234306,-97.73310852,1,0,1,0,565000,5967,1699,2,4,1,333
5707 Marchmont Ln,78749,"Gorgeous home located in the highly sought after community of Villages at Western Oaks. This homes offers a bright, open floorplan ideal for entertaining with 2 living/2 dining & oversized master suite down. Expansive gameroom w/closet & window up can easily be converted back to a 4th bedroom! Tasteful finishes & designer accents throughout. New tile flooring downstairs and new carpet upstairs. Nestled on a large tree-covered lot w/ extremely private backyard.",30.20947075,-97.87029266,1,1,1,2,455000,7719,2041,3,3,2,223
4800 Virginia Dare Ln,78754,"Well maintained one-level home in the gated community of Colonial Place! Bright and open floor plan with so much natural light. Spacious great room with open kitchen, breakfast area and family room. Tile and wood floors in main living spaces with recently installed carpet in bedrooms and flex space/office & formal dining. Only 8 miles from downtown Austin and 1 mile from 130 toll. Fresh neutral paint (2019). Patio with added deck space in backyard.",30.33654022,-97.64691162,1,0,1,0,235000,8973,1877,2,3,1,125
6522 Clairmont Dr,78749,"Rare 4/2 one story in Village At Western Oaks. Open floor plan with tall ceilings, new carpet and fresh paint. Spacious updated Kitchen, stainless appliances, granite, and tons of white cabinets, built-ins in living room for even more storage. Large master walk-in closet. Front room flex space can be formal dining, study, or play area. Private lot, backs to greenbelt.Walking distance to Mills Elementary, Gorzycki Middle School, Bowie HS.",30.21602058,-97.87995911,1,0,1,0,415000,7492,1899,2,4,1,219
8802 Royalwood Dr,78750,"360 Matterport Tour Available.  Don't miss this beautiful David Weekley home with custom touches.  Nestled in a coveted neighborhood the large, treed lot gives way to this two-story home with formal dining and living space.  Family room with vaulted ceilings opens to updated kitchen.  Eat-in breakfast area has banquette seating to overlook the large, lush backyard.  All bedrooms up. Study down could be used as fourth bedroom (next to full bath). Includes 3 full bathrooms!",30.4335556,-97.78677368,1,1,1,2,574999,13939.2,2527,3,4,2,228
5715 Sendero Hills Pkwy,78724,"Cozy 3 bed two bath home for  rent in trendy East  Austin. Attached two car garage, washer/dryer hookups, vaulted ceilings, and sits in a quiet neighborhood. Park located accross the street, 5 minute from Mueller, 10 min away from Downtown Austin. Open house Saturday 3/24/18 11am-4pm

credit/Background chedk, 40$ application fee. Pet deposit",30.28982925,-97.64745331,1,1,1,2,205000,5052,1200,2,3,1,171
11921 Kilmartin Ln,78754,"Gardener's Dream Home close to Austin's Tech hub! Enjoy this vibrant One-story home on 0.19 acre lot with fruit trees and more! Vast living room with wood floors, new carpet in all bedrooms, kitchen with abundant storage space, master bedroom with large walk-in closet. Active community offers a pool, gym, tennis court and more. Close to Samsung, Tech Ridge, and 15 mi to DT. See list of upgrades",30.36207771,-97.60934448,1,1,1,2,255000,8145,1699,2,3,1,150
12420 Cassady Dr,78727,"MAKING A DECISION BY 6-28 @ 6PM. PLEASE SUBMIT ALL OFFERS. Spacious 1 story beautifully renovated home in Milwood with a brand new roof. Large living room with vaulted ceiling, master bedroom with his & hers closets, kitchen with a breakfast area. Low maintenance Zoysia grass & several mature trees. Security upgrades - Ring doorbell, wireless thermostat & porch lights.",30.42374229,-97.72226715,1,1,1,2,519000,9408,2023,2,4,1,257
11417 Dona Villa Dr,78726,"11417 Dona Villa Dr, Austin, TX 78726 is a single family home that contains 2,866 sq ft and was built in 2006. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $533,416. The Rent Zestimate for this home is $2,795/mo. ",30.42938423,-97.83602905,1,0,1,0,500000,13068,2866,3,3,2,174
3706 Hollywood Ave,78722,"3706 Hollywood Ave, Austin, TX 78722 is a single family home that contains 1,568 sq ft and was built in 1939. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $710,100. The Rent Zestimate for this home is $2,017/mo. ",30.29335403,-97.71852875,1,0,1,0,615000,7492,1568,3,4,1,392
11705 Indianhead Dr,78753,"Huge Price Reduction! Beautifully updated Mid-Century Ranch in sought-after neighborhood~3 Bed 2 Bath +2 Living Rooms, on huge lot, 4-sides brick, + RV/Boat Parking, & No HOA~Refrigerator, washer & dryer convey~Kitchen w/Granite Counters-Stainless Steel Appl-Slide-in Gas Range-Travertine-Recessed Lighting-adjacent Dining Rm~Sunken Living Rm w/gorgeous Fireplace, wood floors~Updated bathrms w/granite; master w/frameless shower door~Large patio & deck~Close to the Domain~Seller is a licensed Texas Realtor",30.38435936,-97.67807007,1,0,1,0,379500,14810.4,1705,2,3,1,223
2905 Oaklane Dr,78704,"Entertainers Dream in the 78704!  Pinterest worthy backyard parties are a breeze thanks to the stone patio, outdoor kitchen with built in grill, and Green Egg!  Keep the party going well into the evening hours thanks to the integrated mosquito control system.  This charming traditional home, boasts vintage character, modern updates, and fresh paint in an out! Prime South Austin location with too many amenities to list!",30.24842834,-97.78640747,1,1,1,2,730000,10454,1962,3,4,2,372
5614 Parade Rdg,78731,"5614 Parade Rdg, Austin, TX 78731 is a townhome home that contains 1,644 sq ft and was built in 1995. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $483,336. The Rent Zestimate for this home is $2,450/mo. ",30.35316467,-97.7917099,1,0,1,0,399000,3920,1644,2,3,1,243
2931 Eckert St #A,78722,"Enjoy all Austin has to offer in this Modern 3/2.5 Gem within walking distance to MLK Metro Rail/ Manor Shopping, Restaurants/Bars. Open & Spacious w/High Ceilings, Custom Cabinetry, Commercial Windows/Doors, Concrete &  Bamboo Floors, Cinder-Block Walls, Vessel Sinks, SS Counters.  An Entertainers Dream boasting Extended Living to Fenced Xeriscaped Courtyard Spaces. Lives like a single family residence on Corner Lot, connected only at carport. Minutes drive to UT, Mueller Shops, and DT. New paint.",30.28323746,-97.70662689,1,1,1,1,539900,7013,1600,3,3,2,337
1504 Medio Calle,78733,"1504 Medio Calle, Austin, TX 78733 is a single family home that contains 1,275 sq ft and was built in 2004. It contains 2 bedrooms and 1 bathroom. 
 
The Zestimate for this house is $443,595. The Rent Zestimate for this home is $1,845/mo. ",30.33777237,-97.86353302,1,1,1,1,375000,13939.2,1275,1,2,2,294
1631 Payton Falls Dr,78754,"This beautiful, North Austin home is in a prime location. Approx 10 mins from domain, minutes from Walnut creek, HEB, and not to mention the green belt trail access just across the street! A quaint front porch welcomes you in through the front door. A formal dining or office at the front of home, with an open kitchen, family room, and dining nook with plenty of natural light. Great sized bedrooms and large master bathroom add the final touches to this move in ready home. Ask about special financing.",30.37225723,-97.66138458,1,0,1,0,274900,7143,1933,2,3,1,142
2408 Shiloh Dr,78745,"Beautiful corner lot.  Pride in ownership outside and interior! Solar panels (16) and energy updates to home.  Lowest electric bill this year was $8.47 to highest in July at $67.74.  Interior updates as well.  Seller contribution to home warranty up to $500.  Refrigerator, washer, dryer, wood/metal shelving, and freezer in garage, hot tub/cover and iron patio table w/4 chairs convey.  A gem of a property in 78745.  A must see!",30.19465637,-97.81890869,1,0,1,0,339900,10367,1679,2,3,1,202
303 Drury Ln,78737,"Here is your chance to own a beautiful two-story home in wonderful Belterra neighborhood. Be welcomed by an inviting open layout with high ceilings and great natural light upon entering this charming home. The gracious foyer opens to the formal dining and leads to the family room with gleaming wood floors and fireplace. The well-built kitchen offers arched entries, granite, breakfast niche, and loads of storage. Convenient butler's pantry ties together kitchen and formal dining for entertaining. The hardwoods continue through the main level master suite with a double-vanity bath. There is another bedroom with full bath on main, perfect for overnight guests! The 2nd level accommodates 2 guest rooms with Jack and Jill bath, a spacious game room, and a media room perfect for sports and movie watching. You won't want to miss the private backyard featuring a beautiful wrap-around deck, covered patio, and gorgeous landscaping. Quiet neighborhood with great schools and community amenities.",30.20044899,-97.97025299,1,1,1,2,269900,9670,2857,3,4,2,94
16300 Travesia Way,78728,"FOR SALE BY OWNER - CONTACT BY BUYER(S)' AGENTS ONLY
Located on a corner lot with additional side street parking for guests, this home has the second highest appraisal value on the street.  A two-story, gently lived in and well maintained home with an open floor plan making the home spacious and bright.  There is recessed lighting  in the kitchen, family room, entertainment room and master bedroom. The upstairs entertainment room is equipped with multiple Bose surround sound and all furniture in the room conveys.  Additional interior features: high ceilings, wood flooring, granite countertops and expansive kitchen island w/plenty of cabinet storage. The master bedroom has a sizable en suite which includes a garden tub, walk-in shower, walk-in closet, double-vanity and separate commode room. The house has six ceiling fans with control switches, ADT installed security system, fully-installed sprinkler system, and extra outside security lighting.  Enjoy year-round entertaining & relaxing on your private covered patio with pull-down sunscreen awning and outdoor ceiling fan.  BBQ, high-end Samsung refrigerator, washer and dryer also convey. The community is convenient to all major roads and shopping.  It is expected that Grand Avenue will connect directly to IH35 as the community expands.  Amenities include a pro-active HOA, swimming pool, BBQs and playscape.  ",30.47123909,-97.68326569,1,1,1,2,319000,6011,2240,3,3,2,142
171 Abbey Dr,78737,"Beautiful home on large corner lot! This home has it all! Close to dining & shopping, and a short walk to the elem. school & recreational center. All bedrooms are down + office(5th bedroom),as well as a formal sitting/dining area. Bonus room upstairs can be used for a game room/2nd office/virtual learning space. Large laundry room w/cabinets. Updated kitchen w/ modern finishes including upgraded cooktop & dishwasher. Freshly painted-designer colors. 2019-New roof, carpet & water softener.Owner/AgentRestrictions: Yes  Sprinkler Sys:Yes",30.19533157,-97.98553467,1,1,1,2,499000,10323,3206,3,4,1,156
8211 Spring Valley Dr,78736,"8211 Spring Valley Dr, Austin, TX 78736 is a single family home that contains 2,460 sq ft and was built in 1983. It contains 4 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $505,505. The Rent Zestimate for this home is $2,295/mo. ",30.23897552,-97.89347076,1,1,1,4,485000,12632.4,2460,2,4,1,197
7205 Southwind Dr,78745,"Fabulous remodel in Whispering Oaks! Low maintenance xeriscape front yard and HUGE shaded backyard great for dogs and kids. Open concept with soaring ceilings and huge finished 2 car garage with tons of storage. Limestone gas fireplace, separate laundry room off kitchen, Nest Thermostat & Video Doorbell included.  Tankless Waterheater & Water Softening System!!",30.20174217,-97.81240845,1,1,1,2,325000,7187,1224,2,3,1,266
9624 Beechnut Dr,78748,"This home sits on the largest lot in the entire neighborhood! Incredible custom features include; 600 square feet of wood laminate floors in living, granite counter tops, birch cabinets with hardware, custom paint colors, extended concrete patio, extra insulation in the walls makes for great soundproofing and Oklahoma gold stonework on the front of the home. This house is also wired for Google Fiber. You must see this one!",30.17499924,-97.81902313,1,0,1,0,286000,7666,1707,3,3,2,168
12311 Furrow Cv APT B,78753,"12311 Furrow Cv APT B, Austin, TX 78753 is a condo home that contains 955 sq ft and was built in 1986. It contains 2 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $218,515. The Rent Zestimate for this home is $1,450/mo. ",30.39371872,-97.66010284,1,0,1,0,136000,7840,955,2,2,1,142
5212 Delores Ave,78721,"Architecturally innovative, Noah Riley designed, high efficiency 5 Star Rated new construction home in the heart of East Austin 15 minutes to downtown.  Highlights include solar, LED lighting, tankless, argon double pane windows, Zero VOC paint, SIPS exterior, rain water collection system and xeriscaping. Interior showcases abundant natural light, sleek stainless and roof top deck with stunning views. Low taxes. No HOA. All this plus close to Mueller amenities, parks, shopping and dining. Truly a rare gem",30.27374268,-97.6822052,1,1,1,2,498000,6969,1534,3,3,2,325
12229 Chelsea Glen Pl,78753,"Adorable Town home style Condo with garage and private back porch area.   This home is in a great location and offers space, outdoor area, community pool and super close to all the great amenities NE Austin has to offer.  Minutes from Samsung and Dell.",30.38842773,-97.6578598,1,0,1,0,169900,7840,1136,2,2,2,150
260 Sand Hills Ln,78737,"Gorgeous 1-story home on Greenbelt lot. Backyard is an entertainer's dream w/ an amazing pool, large covered patio, outdoor living space & kitchen, fire pit & organic gardens. Home has an open floor plan w/ 4 BR & 3 full baths, a study & formal dining(currently used as a formal living room). Back bedrooms great for kids or as an in-law suite. Stained Concrete floors & stonework throughout are only a few of the upgrades you will find. 3 car garage. This is a must see!",30.17847443,-97.98165894,1,1,1,3,525000,10410,3063,3,4,1,171
1408 S 3rd St,78704,"Modern 3-story home in hot 78704 neighborhood Bouldin. 3 bed, 2.5 bath home featuring first floor secondary bedrooms; perfect separation for office or guest space! Amazing middle level great room offering soaring ceilings, oversized center island & balcony. Top floor features master bedroom with downtown views & additional living space. Manageable private yard with covered patio with ability for plunge pool. Walk to Butler District Park, Rudolph Gamblin Field, Zilker, dining & nightlife!",30.25113487,-97.75706482,1,1,1,1,695000,2526,2188,3,3,3,318
4417 Mount Vernon Dr #2,78745,"2019 construction home built by Pitch Construction. Lived in for 1 year, by the builders themselves, now prepped and sold in like new condition! Easy access to downtown, South Congress, Lamar and 1st! Beautiful modern design with excellent use of space. Private yard with automatic gate to the carport, exterior storage, and shaded relaxing and entertaining spaces. Inside is a welcoming open living/kitchen, two bedrooms, two full bathrooms, and bonus office/studio space at the upstairs landing.",30.22220993,-97.77832031,1,1,1,1,475000,2809,1047,2,2,1,454
6716 Ranchito Dr,78744,"Located off I35, The Reserve at McKinney Falls is tucked next to the McKinney Falls State Park. With plenty of open space, this gorgeous community offers skyline views and is located about 10 miles from downtown Austin. This community is a part of Del Valle ISD and just minutes from major employers. Designed with you in mind, the Explorer is a spacious 3 bed, 2 bath new home offering 1,654 sq. ft. of living space. As you enter, you'll find a formal dining room or flex space as a study room. The expansive kitchen greets you with granite countertops, spacious overhead cabinets and stainless steel appliances. The large center island in the kitchen invites your guests to gather and enjoy meals and conversation. The owner's suite is situated at the rear of the home for added privacy and features a walk-in closet and walk-in shower. Enjoy the view of your professionally landscaped yard from the comfort of your oversized rear covered patio. Call or visit today for more information.",30.16934013,-97.7303009,0,1,0,2,284990,7910,1654,2,3,1,172
3408 Lynnbrook Dr,78748,"Impeccable single family home located in Bauerle Ranch Austin neighborhood! This open floor plan features modern hints such as updated mosaic fireplace tile and slate grey paint scheme. Inviting kitchen boasts separate dining, gas stove and matching appliances. Private backyard includes an oversized covered deck and garden plots.",30.17051315,-97.8456192,1,0,1,0,335000,8145,2185,2,3,1,153
2905 Lagerway Cv,78748,"***Multiple offers received***This abode is nestled into towering oak trees in an established south Austin neighborhood.  The spacious home features 3 bedrooms, 2 bathrooms and 1 half bath.  The first floor has been updated with hard tile and the upstairs has been updated with new carpet.  The upstairs flex area works well as an office or game room.  The outdoor deck is an entertainers delight.  Impress your guest while grilling on the spacious deck under gorgeous oaks.  This home has an oversized backyard full of possibilities.",30.18191719,-97.83672333,1,0,1,0,342843,9104,2073,3,3,2,165
4724 Berkman Dr,78723,"Mueller Town Green home is an easy walk to HEB & town center.  Four nice bedrooms, three full baths plus bonus living space with bar on 3rd floor.  Luxury kitchen with huge island, granite counters and stainless appliances.  Large Pantry and oversized garage with utility sink.  Amazing contemporary finishes and no carpet! Hardwoods/Tile throughout. Covered patio has skyline views.",30.30077934,-97.70079803,1,1,1,2,524995,1219,2126,4,4,3,247
8308 Winterstein Dr,78745,"Only 15 minutes from downtown Austin, this beautifully updated home is located near the park in the Grand Oaks subdivision near the intersection of Davis and Manchaca. Pride in ownership shows in every detail including but not limited to; engineered hardwood flooring, recent carpet in the stairwell, recent granite counters in kitchen complete with subway tile backsplash, paint inside and out, and five inch baseboards. The neighborhood amenities include a running trail circling the subdivision, beautiful landscaping, a play scape tailored towards young children, a covered area for parties, grills and a basketball court. Come see this gem, homes this well cared for don’t come along often.",30.19122124,-97.82058716,1,1,1,2,309000,4486,1474,3,3,2,210
